Epoch_ms,FSR-1,FSR-2,FSR-3,FSR-4,FSR-5,FSR-6
1769641171606,0,0,0,0,0,0
1769641171608,0,0,0,0,0,0
1769641171609,0,0,0,0,0,0
1769641171611,0,0,0,0,0,0
1769641171612,0,0,0,0,0,0
1769641171614,0,0,0,0,0,0
1769641171615,0,0,0,0,0,0
1769641171616,0,0,0,0,0,0
1769641171618,0,0,0,0,0,0
1769641171619,0,0,0,0,0,0
1769641171621,0,0,0,0,0,0
1769641171622,0,0,0,0,0,0
1769641171624,0,0,0,0,0,0
1769641171625,0,0,0,0,0,0
1769641171626,0,0,0,0,0,0
1769641171628,0,0,0,0,0,0
1769641171629,0,0,0,0,0,0
1769641171631,0,0,0,0,0,0
1769641171632,0,0,0,0,0,0
1769641171634,0,0,0,0,0,0
1769641171635,0,0,0,0,0,0
1769641171636,0,0,0,0,0,0
1769641171638,0,0,0,0,0,0
1769641171639,0,0,0,0,0,0
1769641171641,0,0,0,0,0,0
1769641171642,0,0,0,0,0,0
1769641171644,0,0,0,0,0,0
1769641171645,0,0,0,0,0,0
1769641171646,0,0,0,0,0,0
1769641171648,0,0,0,0,0,0
1769641171649,0,0,0,0,0,0
1769641171651,0,0,0,0,0,0
1769641171652,0,0,0,0,0,0
1769641171653,0,0,0,0,0,0
1769641171655,0,0,0,0,0,0
1769641171656,0,0,0,0,0,0
1769641171658,0,0,0,0,0,0
1769641171659,0,0,0,0,0,0
1769641171661,0,0,0,0,0,0
1769641171662,0,0,0,0,0,0
1769641171663,0,0,0,0,0,0
1769641171665,0,0,0,0,0,0
1769641171666,0,0,0,0,0,0
1769641171668,0,0,0,0,0,0
1769641171669,0,0,0,0,0,0
1769641171671,0,0,0,0,0,0
1769641171672,0,0,0,0,0,0
1769641171673,0,0,0,0,0,0
1769641171675,0,0,0,0,0,0
1769641171676,0,0,0,0,0,0
1769641171678,0,0,0,0,0,0
1769641171679,0,0,0,0,0,0
1769641171681,0,0,0,0,0,0
1769641171682,0,0,0,0,0,0
1769641171683,0,0,0,0,0,0
1769641171685,0,0,0,0,0,0
1769641171686,0,0,0,0,0,0
1769641171688,0,0,0,0,0,0
1769641171689,0,0,0,0,0,0
1769641171691,0,0,0,0,0,0
1769641171692,0,0,0,0,0,0
1769641171693,0,0,0,0,0,0
1769641171695,0,0,0,0,0,0
1769641171696,0,0,0,0,0,0
1769641171698,0,0,0,0,0,0
1769641171699,0,0,0,0,0,0
1769641171701,0,0,0,0,0,0
1769641171702,0,0,0,0,0,0
1769641171703,0,0,0,0,0,0
1769641171705,0,0,0,0,0,0
1769641171706,0,0,0,0,0,0
1769641171708,0,0,0,0,0,0
1769641171709,0,0,0,0,0,0
1769641171711,0,0,0,0,0,0
1769641171712,0,0,0,0,0,0
1769641171713,0,0,0,0,0,0
1769641171715,0,0,0,0,0,0
1769641171716,0,0,0,0,0,0
1769641171718,0,0,0,0,0,0
1769641171719,0,0,0,0,0,0
1769641171721,0,0,0,0,0,0
1769641171722,0,0,0,0,0,0
1769641171723,0,0,0,0,0,0
1769641171725,0,0,0,0,0,0
1769641171726,0,0,0,0,0,0
1769641171728,0,0,0,0,0,0
1769641171729,0,0,0,0,0,0
1769641171731,0,0,0,0,0,0
1769641171732,0,0,0,0,0,0
1769641171733,0,0,0,0,0,0
1769641171735,0,0,0,0,0,0
1769641171736,0,0,0,0,0,0
1769641171738,0,0,0,0,0,0
1769641171739,0,0,0,0,0,0
1769641171740,0,0,0,0,0,0
1769641171742,0,0,0,0,0,0
1769641171743,0,0,0,0,0,0
1769641171745,0,0,0,0,0,0
1769641171746,0,0,0,0,0,0
1769641171748,0,0,0,0,0,0
1769641171749,0,0,0,0,0,0
1769641171750,0,0,0,0,0,0
1769641171752,0,0,0,0,0,0
1769641171753,0,0,0,0,0,0
1769641171755,0,0,0,0,0,0
1769641171756,0,0,0,0,0,0
1769641171758,0,0,0,0,0,0
1769641171759,0,0,0,0,0,0
1769641171760,0,0,0,0,0,0
1769641171762,0,0,0,0,0,0
1769641171763,0,0,0,0,0,0
1769641171765,0,0,0,0,0,0
1769641171766,0,0,0,0,0,0
1769641171768,0,0,0,0,0,0
1769641171769,0,0,0,0,0,0
1769641171770,0,0,0,0,0,0
1769641171772,0,0,0,0,0,0
1769641171773,0,0,0,0,0,0
1769641171775,0,0,0,0,0,0
1769641171776,0,0,0,0,0,0
1769641171778,0,0,0,0,0,0
1769641171779,0,0,0,0,0,0
1769641171780,0,0,0,0,0,0
1769641171782,0,0,0,0,0,0
1769641171783,0,0,0,0,0,0
1769641171785,0,0,0,0,0,0
1769641171786,0,0,0,0,0,0
1769641171788,0,0,0,0,0,0
1769641171789,0,0,0,0,0,0
1769641171790,0,0,0,0,0,0
1769641171792,0,0,0,0,0,0
1769641171793,0,0,0,0,0,0
1769641171795,0,0,0,0,0,0
1769641171796,0,0,0,0,0,0
1769641171798,0,0,0,0,0,0
1769641171799,0,0,0,0,0,0
1769641171800,0,0,0,0,0,0
1769641171802,0,0,0,0,0,0
1769641171803,0,0,0,0,0,0
1769641171805,0,0,0,0,0,0
1769641171806,0,0,0,0,0,0
1769641171808,0,0,0,0,0,0
1769641171809,0,0,0,0,0,0
1769641171810,0,0,0,0,0,0
1769641171812,0,0,0,0,0,0
1769641171813,0,0,0,0,0,0
1769641171815,0,0,0,0,0,0
1769641171816,0,0,0,0,0,0
1769641171818,0,0,0,0,0,0
1769641171819,0,0,0,0,0,0
1769641171820,0,0,0,0,0,0
1769641171822,0,0,0,0,0,0
1769641171823,0,0,0,0,0,0
1769641171825,0,0,0,0,0,0
1769641171826,0,0,0,0,0,0
1769641171827,0,0,0,0,0,0
1769641171829,0,0,0,0,0,0
1769641171830,0,0,0,0,0,0
1769641171832,0,0,0,0,0,0
1769641171833,0,0,0,0,0,0
1769641171835,0,0,0,0,0,0
1769641171836,0,0,0,0,0,0
1769641171837,0,0,0,0,0,0
1769641171839,0,0,0,0,0,0
1769641171840,0,0,0,0,0,0
1769641171842,0,0,0,0,0,0
1769641171843,0,0,0,0,0,0
1769641171845,0,0,0,0,0,0
1769641171846,0,0,0,0,0,0
1769641171847,0,0,0,0,0,0
1769641171849,0,0,0,0,0,0
1769641171850,0,0,0,0,0,0
1769641171852,0,0,0,0,0,0
1769641171853,0,0,0,0,0,0
1769641171855,0,0,0,0,0,0
1769641171856,0,0,0,0,0,0
1769641171857,0,0,0,0,0,0
1769641171859,0,0,0,0,0,0
1769641171860,0,0,0,0,0,0
1769641171862,0,0,0,0,0,0
1769641171863,0,0,0,0,0,0
1769641171865,0,0,0,0,0,0
1769641171866,0,0,0,0,0,0
1769641171867,0,0,0,0,0,0
1769641171869,0,0,0,0,0,0
1769641171870,0,0,0,0,0,0
1769641171872,0,0,0,0,0,0
1769641171873,0,0,0,0,0,0
1769641171875,0,0,0,0,0,0
1769641171876,0,0,0,0,0,0
1769641171877,0,0,0,0,0,0
1769641171879,0,0,0,0,0,0
1769641171880,0,0,0,0,0,0
1769641171882,0,0,0,0,0,0
1769641171883,0,0,0,0,0,0
1769641171885,0,0,0,0,0,0
1769641171886,0,0,0,0,0,0
1769641171887,0,0,0,0,0,0
1769641171889,0,0,0,0,0,0
1769641171890,0,0,0,0,0,0
1769641171892,0,0,0,0,0,0
1769641171893,0,0,0,0,0,0
1769641171895,0,0,0,0,0,0
1769641171896,0,0,0,0,0,0
1769641171897,0,0,0,0,0,0
1769641171899,0,0,0,0,0,0
1769641171900,0,0,0,0,0,0
1769641171902,0,0,0,0,0,0
1769641171903,0,0,0,0,0,0
1769641171905,0,0,0,0,0,0
1769641171906,0,0,0,0,0,0
1769641171907,0,0,0,0,0,0
1769641171909,0,0,0,0,0,0
1769641171910,0,0,0,0,0,0
1769641171912,0,0,0,0,0,0
1769641171913,0,0,0,0,0,0
1769641171914,0,0,0,0,0,0
1769641171916,0,0,0,0,0,0
1769641171917,0,0,0,0,0,0
1769641171919,0,0,0,0,0,0
1769641171920,0,0,0,0,0,0
1769641171922,0,0,0,0,0,0
1769641171923,0,0,0,0,0,0
1769641171924,0,0,0,0,0,0
1769641171926,0,0,0,0,0,0
1769641171927,0,0,0,0,0,0
1769641171929,0,0,0,0,0,0
1769641171930,0,0,0,0,0,0
1769641171932,0,0,0,0,0,0
1769641171933,0,0,0,0,0,0
1769641171934,0,0,0,0,0,0
1769641171936,0,0,0,0,0,0
1769641171937,0,0,0,0,0,0
1769641171939,0,0,0,0,0,0
1769641171940,0,0,0,0,0,0
1769641171942,0,0,0,0,0,0
1769641171943,0,0,0,0,0,0
1769641171944,0,0,0,0,0,0
1769641171946,0,0,0,0,0,0
1769641171947,0,0,0,0,0,0
1769641171949,0,0,0,0,0,0
1769641171950,0,0,0,0,0,0
1769641171952,0,0,0,0,0,0
1769641171953,0,0,0,0,0,0
1769641171954,0,0,0,0,0,0
1769641171956,0,0,0,0,0,0
1769641171957,0,0,0,0,0,0
1769641171959,0,0,0,0,0,0
1769641171960,0,0,0,0,0,0
1769641171962,0,0,0,0,0,0
1769641171963,0,0,0,0,0,0
1769641171964,0,0,0,0,0,0
1769641171966,0,0,0,0,0,0
1769641171967,0,0,0,0,0,0
1769641171969,0,0,0,0,0,0
1769641171970,0,0,0,0,0,0
1769641171972,0,0,0,0,0,0
1769641171973,0,0,0,0,0,0
1769641171974,0,0,0,0,0,0
1769641171976,0,0,0,0,0,0
1769641171977,0,0,0,0,0,0
1769641171979,0,0,0,0,0,0
1769641171980,0,0,0,0,0,0
1769641171982,0,0,0,0,0,0
1769641171983,0,0,0,0,0,0
1769641171984,0,0,0,0,0,0
1769641171986,0,0,0,0,0,0
1769641171987,0,0,0,0,0,0
1769641171989,0,0,0,0,0,0
1769641171990,0,0,0,0,0,0
1769641171991,0,0,0,0,0,0
1769641171993,0,0,0,0,0,0
1769641171994,0,0,0,0,0,0
1769641171996,0,0,0,0,0,0
1769641171997,0,0,0,0,0,0
1769641171999,0,0,0,0,0,0
1769641171000,0,0,0,0,0,0
1769641171001,0,0,0,0,0,0
1769641171003,0,0,0,0,0,0
1769641171004,0,0,0,0,0,0
1769641171006,0,0,0,0,0,0
1769641171007,0,0,0,0,0,0
1769641171009,0,0,0,0,0,0
1769641171010,0,0,0,0,0,0
1769641171011,0,0,0,0,0,0
1769641171013,0,0,0,0,0,0
1769641171014,0,0,0,0,0,0
1769641171016,0,0,0,0,0,0
1769641171017,0,0,0,0,0,0
1769641171019,0,0,0,0,0,0
1769641171020,0,0,0,0,0,0
1769641171022,0,0,0,0,0,0
1769641171023,0,0,0,0,0,0
1769641171024,0,0,0,0,0,0
1769641171026,0,0,0,0,0,0
1769641171027,0,0,0,0,0,0
1769641171029,0,0,0,0,0,0
1769641171030,0,0,0,0,0,0
1769641171032,0,0,0,0,0,0
1769641171033,0,0,0,0,0,0
1769641171034,0,0,0,0,0,0
1769641171036,0,0,0,0,0,0
1769641171037,0,0,0,0,0,0
1769641171039,0,0,0,0,0,0
1769641171040,0,0,0,0,0,0
1769641171041,0,0,0,0,0,0
1769641171043,0,0,0,0,0,0
1769641171044,0,0,0,0,0,0
1769641171046,0,0,0,0,0,0
1769641171047,0,0,0,0,0,0
1769641171049,0,0,0,0,0,0
1769641171050,0,0,0,0,0,0
1769641171051,0,0,0,0,0,0
1769641171053,0,0,0,0,0,0
1769641171054,0,0,0,0,0,0
1769641171056,0,0,0,0,0,0
1769641171057,0,0,0,0,0,0
1769641171059,0,0,0,0,0,0
1769641171060,0,0,0,0,0,0
1769641171061,0,0,0,0,0,0
1769641171063,0,0,0,0,0,0
1769641171064,0,0,0,0,0,0
1769641171066,0,0,0,0,0,0
1769641171067,0,0,0,0,0,0
1769641171069,0,0,0,0,0,0
1769641171070,0,0,0,0,0,0
1769641171071,0,0,0,0,0,0
1769641171073,0,0,0,0,0,0
1769641171074,0,0,0,0,0,0
1769641171076,0,0,0,0,0,0
1769641171077,0,0,0,0,0,0
1769641171079,0,0,0,0,0,0
1769641171080,0,0,0,0,0,0
