Epoch_ms,FSR-1,FSR-2,FSR-3,FSR-4,FSR-5,FSR-6
1769641182461,327,121,133,3,0,21
1769641182462,327,119,133,1,0,20
1769641182464,326,117,132,0,0,20
1769641182465,324,117,133,1,0,21
1769641182467,325,117,127,1,0,21
1769641182468,324,117,133,3,0,20
1769641182469,325,115,126,0,0,21
1769641182471,323,116,127,1,0,21
1769641182472,325,111,125,2,0,21
1769641182474,325,111,126,1,0,21
1769641182475,326,109,125,1,0,20
1769641182477,325,109,127,0,0,20
1769641182478,326,109,125,2,0,18
1769641182479,327,109,131,3,0,19
1769641182481,326,109,126,2,0,19
1769641182482,325,110,133,2,0,21
1769641182484,325,109,133,1,0,19
1769641182485,318,109,127,2,0,18
1769641182487,319,108,127,1,0,20
1769641182488,317,107,127,1,0,19
1769641182489,315,105,126,0,0,21
1769641182491,317,105,125,1,0,19
1769641182492,315,106,126,1,0,20
1769641182494,315,105,127,0,0,19
1769641182495,315,105,125,1,0,20
1769641182497,314,105,126,1,0,19
1769641182498,314,104,125,0,0,19
1769641182499,313,104,125,1,0,19
1769641182501,311,102,125,0,0,20
1769641182502,313,103,123,2,0,19
1769641182504,311,103,122,0,0,19
1769641182505,311,103,123,0,0,18
1769641182507,308,103,123,0,0,20
1769641182508,309,101,123,0,0,19
1769641182510,308,102,125,0,0,18
1769641182511,308,102,123,0,0,19
1769641182512,307,103,123,0,0,19
1769641182514,304,101,124,0,0,18
1769641182515,303,102,123,0,0,17
1769641182517,303,100,123,0,0,18
1769641182518,302,98,123,0,0,17
1769641182520,301,99,123,0,0,17
1769641182521,301,99,123,0,0,17
1769641182522,301,98,123,0,0,18
1769641182524,300,99,125,0,0,18
1769641182525,299,99,122,0,0,16
1769641182527,300,95,122,0,0,17
1769641182528,299,95,123,0,0,18
1769641182530,299,95,121,0,0,16
1769641182531,300,93,123,0,0,16
1769641182532,301,93,121,0,0,17
1769641182534,301,93,122,0,0,16
1769641182535,300,93,123,0,0,17
1769641182537,301,94,123,0,0,18
1769641182538,301,93,125,0,0,17
1769641182540,301,95,125,0,0,17
1769641182541,303,93,125,0,0,17
1769641182542,307,98,127,0,0,13
1769641182544,307,97,133,0,0,17
1769641182545,307,95,133,0,0,17
1769641182547,309,98,133,0,0,17
1769641182548,309,97,135,0,0,17
1769641182550,311,101,135,0,0,17
1769641182551,311,101,135,0,0,16
1769641182552,313,102,136,0,0,17
1769641182554,313,103,136,0,0,13
1769641182555,316,102,137,0,0,18
1769641182557,317,103,139,0,0,17
1769641182558,317,105,139,0,0,17
1769641182560,319,105,145,0,0,16
1769641182561,327,105,145,0,0,13
1769641182562,326,107,147,0,0,13
1769641182564,329,106,147,0,0,16
1769641182565,329,108,147,0,0,17
1769641182567,329,109,148,0,0,16
1769641182568,331,109,147,0,0,13
1769641182570,332,111,149,1,0,16
1769641182571,335,114,149,0,0,16
1769641182572,334,117,149,0,0,13
1769641182574,335,116,151,0,0,13
1769641182575,337,117,151,0,0,13
1769641183577,338,119,153,0,0,16
1769641183578,339,121,153,0,0,17
1769641183580,339,121,153,0,0,17
1769641183581,341,123,155,1,0,17
1769641183582,342,125,155,0,0,17
1769641183584,343,125,156,0,0,16
