sample_index,recorded_at_iso,d1_epoch_ms,d1_fsr1,d1_fsr2,d1_fsr3,d1_fsr4,d1_fsr5,d1_fsr6,d2_epoch_ms,d2_fsr1,d2_fsr2,d2_fsr3,d2_fsr4,d2_fsr5,d2_fsr6
1,2026-04-02T19:28:13Z,1775158092797,0,0,0,0,0,0,1775158093201,0,0,0,0,0,0
2,2026-04-02T19:28:13Z,1775158092801,0,0,0,0,0,0,1775158093205,0,0,0,0,0,0
3,2026-04-02T19:28:13Z,1775158092801,0,0,0,0,0,0,1775158093208,0,0,0,0,0,0
4,2026-04-02T19:28:13Z,1775158092803,0,0,0,0,0,0,1775158093208,0,0,0,0,0,0
5,2026-04-02T19:28:13Z,1775158092806,0,0,0,0,0,0,1775158093210,0,0,0,0,0,0
6,2026-04-02T19:28:13Z,1775158092806,0,0,0,0,0,0,1775158093213,0,0,0,0,0,0
7,2026-04-02T19:28:13Z,1775158092809,0,0,0,0,0,0,1775158093213,0,0,0,0,0,0
8,2026-04-02T19:28:13Z,1775158092809,0,0,0,0,0,0,1775158093217,0,0,0,0,0,0
9,2026-04-02T19:28:13Z,1775158092812,0,0,0,0,0,0,1775158093220,0,0,0,0,0,0
10,2026-04-02T19:28:13Z,1775158092815,0,0,0,0,0,0,1775158093223,0,0,0,0,0,0
11,2026-04-02T19:28:13Z,1775158092815,0,0,0,0,0,0,1775158093223,0,0,0,0,0,0
12,2026-04-02T19:28:13Z,1775158092821,0,0,0,0,0,0,1775158093226,0,0,0,0,0,0
13,2026-04-02T19:28:13Z,1775158092821,0,0,0,0,0,0,1775158093226,0,0,0,0,0,0
14,2026-04-02T19:28:13Z,1775158092821,0,0,0,0,0,0,1775158093226,0,0,0,0,0,0
15,2026-04-02T19:28:13Z,1775158092824,0,0,0,0,0,0,1775158093229,0,0,0,0,0,0
16,2026-04-02T19:28:13Z,1775158092827,0,0,0,0,0,0,1775158093233,0,0,0,0,0,0
17,2026-04-02T19:28:13Z,1775158092827,0,0,0,0,0,0,1775158093235,0,0,0,0,0,0
18,2026-04-02T19:28:13Z,1775158092827,0,0,0,0,0,0,1775158093235,0,0,0,0,0,0
19,2026-04-02T19:28:13Z,1775158092833,0,0,0,0,0,0,1775158093238,0,0,0,0,0,0
20,2026-04-02T19:28:13Z,1775158092836,0,0,0,0,0,0,1775158093241,0,0,0,0,0,0
21,2026-04-02T19:28:13Z,1775158092836,0,0,0,0,0,0,1775158093244,0,0,0,0,0,0
22,2026-04-02T19:28:13Z,1775158092839,0,0,0,0,0,0,1775158093247,0,0,0,0,0,0
23,2026-04-02T19:28:13Z,1775158092842,0,0,0,0,0,0,1775158093247,0,0,0,0,0,0
24,2026-04-02T19:28:13Z,1775158092842,0,0,0,0,0,0,1775158093250,0,0,0,0,0,0
25,2026-04-02T19:28:13Z,1775158092845,0,0,0,0,0,0,1775158093253,0,0,0,0,0,0
26,2026-04-02T19:28:13Z,1775158092848,0,0,0,0,0,0,1775158093253,0,0,0,0,0,0
27,2026-04-02T19:28:13Z,1775158092848,0,0,0,0,0,0,1775158093256,0,0,0,0,0,0
28,2026-04-02T19:28:13Z,1775158092848,0,0,0,0,0,0,1775158093256,0,0,0,0,0,0
29,2026-04-02T19:28:13Z,1775158092851,0,0,0,0,0,0,1775158093259,0,0,0,0,0,0
30,2026-04-02T19:28:13Z,1775158092854,0,0,0,0,0,0,1775158093259,0,0,0,0,0,0
31,2026-04-02T19:28:13Z,1775158092854,0,0,0,0,0,0,1775158093262,0,0,0,0,0,0
32,2026-04-02T19:28:13Z,1775158092860,0,0,0,0,0,0,1775158093265,0,0,0,0,0,0
33,2026-04-02T19:28:13Z,1775158092860,0,0,0,0,0,0,1775158093268,0,0,0,0,0,0
34,2026-04-02T19:28:13Z,1775158092863,0,0,0,0,0,0,1775158093271,0,0,0,0,0,0
35,2026-04-02T19:28:13Z,1775158092863,0,0,0,0,0,0,1775158093271,0,0,0,0,0,0
36,2026-04-02T19:28:13Z,1775158092866,0,0,0,0,0,0,1775158093274,0,0,0,0,0,0
37,2026-04-02T19:28:13Z,1775158092869,0,0,0,0,0,0,1775158093274,0,0,0,0,0,0
38,2026-04-02T19:28:13Z,1775158092869,0,0,0,0,0,0,1775158093277,0,0,0,0,0,0
39,2026-04-02T19:28:13Z,1775158092872,0,0,0,0,0,0,1775158093280,0,0,0,0,0,0
40,2026-04-02T19:28:13Z,1775158092875,0,0,0,0,0,0,1775158093283,0,0,0,0,0,0
41,2026-04-02T19:28:13Z,1775158092875,0,0,0,0,0,0,1775158093283,0,0,0,0,0,0
42,2026-04-02T19:28:13Z,1775158092878,0,0,0,0,0,0,1775158093286,0,0,0,0,0,0
43,2026-04-02T19:28:13Z,1775158092878,0,0,0,0,0,0,1775158093286,0,0,0,0,0,0
44,2026-04-02T19:28:13Z,1775158092884,0,0,0,0,0,0,1775158093290,0,0,0,0,0,0
45,2026-04-02T19:28:13Z,1775158092884,0,0,0,0,0,0,1775158093292,0,0,0,0,0,0
46,2026-04-02T19:28:13Z,1775158092887,0,0,0,0,0,0,1775158093292,0,0,0,0,0,0
47,2026-04-02T19:28:13Z,1775158092890,0,0,0,0,0,0,1775158093296,0,0,0,0,0,0
48,2026-04-02T19:28:13Z,1775158092890,0,0,0,0,0,0,1775158093296,0,0,0,0,0,0
49,2026-04-02T19:28:13Z,1775158092893,0,0,0,0,0,0,1775158093302,0,0,0,0,0,0
50,2026-04-02T19:28:13Z,1775158092896,0,0,0,0,0,0,1775158093302,0,0,0,0,0,0
51,2026-04-02T19:28:13Z,1775158092896,0,0,0,0,0,0,1775158093302,0,0,0,0,0,0
52,2026-04-02T19:28:13Z,1775158092899,0,0,0,0,0,0,1775158093305,0,0,0,0,0,0
53,2026-04-02T19:28:13Z,1775158092899,0,0,0,0,0,0,1775158093308,0,0,0,0,0,0
54,2026-04-02T19:28:13Z,1775158092902,0,0,0,0,0,0,1775158093308,0,0,0,0,0,0
55,2026-04-02T19:28:13Z,1775158092905,0,0,0,0,0,0,1775158093311,0,0,0,0,0,0
56,2026-04-02T19:28:13Z,1775158092908,0,0,0,0,0,0,1775158093314,0,0,0,0,0,0
57,2026-04-02T19:28:13Z,1775158092911,0,0,0,0,0,0,1775158093314,0,0,0,0,0,0
58,2026-04-02T19:28:13Z,1775158092911,0,0,0,0,0,0,1775158093317,0,0,0,0,0,0
59,2026-04-02T19:28:13Z,1775158092914,0,0,0,0,0,0,1775158093320,0,0,0,0,0,0
60,2026-04-02T19:28:13Z,1775158092914,0,0,0,0,0,0,1775158093320,0,0,0,0,0,0
61,2026-04-02T19:28:13Z,1775158092917,0,0,0,0,0,0,1775158093323,0,0,0,0,0,0
62,2026-04-02T19:28:13Z,1775158092917,0,0,0,0,0,0,1775158093327,0,0,0,0,0,0
63,2026-04-02T19:28:13Z,1775158092920,0,0,0,0,0,0,1775158093329,0,0,0,0,0,0
64,2026-04-02T19:28:13Z,1775158092923,0,0,0,0,0,0,1775158093329,0,0,0,0,0,0
65,2026-04-02T19:28:13Z,1775158092926,0,0,0,0,0,0,1775158093333,0,0,0,0,0,0
66,2026-04-02T19:28:13Z,1775158092926,0,0,0,0,0,0,1775158093333,0,0,0,0,0,0
67,2026-04-02T19:28:13Z,1775158092929,0,0,0,0,0,0,1775158093335,0,0,0,0,0,0
68,2026-04-02T19:28:13Z,1775158092929,0,0,0,0,0,0,1775158093335,0,0,0,0,0,0
69,2026-04-02T19:28:13Z,1775158092931,0,0,0,0,0,0,1775158093338,0,0,0,0,0,0
70,2026-04-02T19:28:13Z,1775158092935,0,0,0,0,0,0,1775158093341,0,0,0,0,0,0
71,2026-04-02T19:28:13Z,1775158092938,0,0,0,0,0,0,1775158093344,0,0,0,0,0,0
72,2026-04-02T19:28:13Z,1775158092938,0,0,0,0,0,0,1775158093344,0,0,0,0,0,0
73,2026-04-02T19:28:13Z,1775158092941,0,0,0,0,0,0,1775158093347,0,0,0,0,0,0
74,2026-04-02T19:28:13Z,1775158092943,0,0,0,0,0,0,1775158093350,0,0,0,0,0,0
75,2026-04-02T19:28:13Z,1775158092943,0,0,0,0,0,0,1775158093350,0,0,0,0,0,0
76,2026-04-02T19:28:13Z,1775158092946,0,0,0,0,0,0,1775158093353,0,0,0,0,0,0
77,2026-04-02T19:28:13Z,1775158092949,0,0,0,0,0,0,1775158093356,0,0,0,0,0,0
78,2026-04-02T19:28:13Z,1775158092953,0,0,0,0,0,0,1775158093356,0,0,0,0,0,0
79,2026-04-02T19:28:13Z,1775158092953,0,0,0,0,0,0,1775158093359,0,0,0,0,0,0
80,2026-04-02T19:28:13Z,1775158092955,0,0,0,0,0,0,1775158093362,0,0,0,0,0,0
81,2026-04-02T19:28:13Z,1775158092955,0,0,0,0,0,0,1775158093362,0,0,0,0,0,0
82,2026-04-02T19:28:13Z,1775158092955,0,0,0,0,0,0,1775158093362,0,0,0,0,0,0
83,2026-04-02T19:28:13Z,1775158092958,0,0,0,0,0,0,1775158093365,0,0,0,0,0,0
84,2026-04-02T19:28:13Z,1775158092961,0,0,0,0,0,0,1775158093368,0,0,0,0,0,0
85,2026-04-02T19:28:13Z,1775158092961,0,0,0,0,0,0,1775158093368,0,0,0,0,0,0
86,2026-04-02T19:28:13Z,1775158092961,0,0,0,0,0,0,1775158093368,0,0,0,0,0,0
87,2026-04-02T19:28:13Z,1775158092961,0,0,0,0,0,0,1775158093368,0,0,0,0,0,0
88,2026-04-02T19:28:14Z,1775158092961,0,0,0,0,0,0,1775158093368,0,0,0,0,0,0
89,2026-04-02T19:28:14Z,1775158092973,0,0,0,0,0,0,1775158093380,0,0,0,0,0,0
90,2026-04-02T19:28:14Z,1775158092976,0,0,0,0,0,0,1775158093383,0,0,0,0,0,0
91,2026-04-02T19:28:14Z,1775158092976,0,0,0,0,0,0,1775158093383,0,0,0,0,0,0
92,2026-04-02T19:28:14Z,1775158092979,0,0,0,0,0,0,1775158093386,0,0,0,0,0,0
93,2026-04-02T19:28:14Z,1775158092982,0,0,0,0,0,0,1775158093389,0,0,0,0,0,0
94,2026-04-02T19:28:14Z,1775158092982,0,0,0,0,0,0,1775158093389,0,0,0,0,0,0
95,2026-04-02T19:28:14Z,1775158092985,0,0,0,0,0,0,1775158093392,0,0,0,0,0,0
96,2026-04-02T19:28:14Z,1775158092988,0,0,0,0,0,0,1775158093392,0,0,0,0,0,0
97,2026-04-02T19:28:14Z,1775158092988,0,0,0,0,0,0,1775158093395,0,0,0,0,0,0
98,2026-04-02T19:28:14Z,1775158092991,0,0,0,0,0,0,1775158093398,0,0,0,0,0,0
99,2026-04-02T19:28:14Z,1775158092994,0,0,0,0,0,0,1775158093401,0,0,0,0,0,0
100,2026-04-02T19:28:14Z,1775158092994,0,0,0,0,0,0,1775158093401,0,0,0,0,0,0
101,2026-04-02T19:28:14Z,1775158092997,0,0,0,0,0,0,1775158093404,0,0,0,0,0,0
102,2026-04-02T19:28:14Z,1775158093000,0,0,0,0,0,0,1775158093407,0,0,0,0,0,0
103,2026-04-02T19:28:14Z,1775158093003,0,0,0,0,0,0,1775158093407,0,0,0,0,0,0
104,2026-04-02T19:28:14Z,1775158093003,0,0,0,0,0,0,1775158093410,0,0,0,0,0,0
105,2026-04-02T19:28:14Z,1775158093006,0,0,0,0,0,0,1775158093413,0,0,0,0,0,0
106,2026-04-02T19:28:14Z,1775158093006,0,0,0,0,0,0,1775158093413,0,0,0,0,0,0
107,2026-04-02T19:28:14Z,1775158093009,0,0,0,0,0,0,1775158093416,0,0,0,0,0,0
108,2026-04-02T19:28:14Z,1775158093009,0,0,0,0,0,0,1775158093416,0,0,0,0,0,0
109,2026-04-02T19:28:14Z,1775158093009,0,0,0,0,0,0,1775158093416,0,0,0,0,0,0
110,2026-04-02T19:28:14Z,1775158093012,0,0,0,0,0,0,1775158093419,0,0,0,0,0,0
111,2026-04-02T19:28:14Z,1775158093012,0,0,0,0,0,0,1775158093419,0,0,0,0,0,0
